type	subtype	sarg	source	description	ko	definition
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_463135526.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_463135526.1	inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-293	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_474197959.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_474197959.1	inhibitor-resistant class A beta-lactamase KPC-288	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_474197960.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_474197960.1	inhibitor-resistant extended-spectrum class A beta-lactamase KPC-289	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_474197961.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_474197961.1	inhibitor-resistant extended-spectrum class A beta-lactamase KPC-290	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_474197962.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_474197962.1	inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-292	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_474197963.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_474197963.1	inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-294	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_486348169.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_486348169.1	serine hydrolase	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_486348170.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_486348170.1	serine hydrolase	K17836*	beta-lactamase class A
beta-lactam	blaKPC	SARG|beta-lactam|blaKPC|WP_486348171.1	NCBI|amr:amr|beta-lactam|blaKPC|WP_486348171.1	inhibitor-resistant class A beta-lactamase KPC-299	K17836*	beta-lactamase class A
beta-lactam	blaL	SARG|beta-lactam|blaL|WP_030877515.1	NCBI|amr:amr|beta-lactam|blaL|WP_030877515.1	BlaL family class A beta-lactamase	K17836*	beta-lactamase class A
beta-lactam	blaL	SARG|beta-lactam|blaL|WP_030892446.1	NCBI|amr:amr|beta-lactam|blaL|WP_030892446.1	BlaL family class A beta-lactamase	K17836*	beta-lactamase class A
beta-lactam	blaL	SARG|beta-lactam|blaL|WP_065102178.1	NCBI|amr:amr|beta-lactam|blaL|WP_065102178.1	BlaL family class A beta-lactamase	K17836*	beta-lactamase class A
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_032966056.1	NCBI|amr:amr|beta-lactam|blaL1|WP_032966056.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_046430859.1	NCBI|amr:amr|beta-lactam|blaL1|WP_046430859.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842669.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842669.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842676.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842676.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842682.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842682.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842688.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842688.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842689.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842689.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842690.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842690.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842691.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842691.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842692.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842692.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842693.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842693.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842694.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842694.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842695.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842695.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842696.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842696.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842697.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842697.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842698.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842698.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_063842699.1	NCBI|amr:amr|beta-lactam|blaL1|WP_063842699.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL1	SARG|beta-lactam|blaL1|WP_304486996.1	NCBI|amr:amr|beta-lactam|blaL1|WP_304486996.1	L1 family subclass B3 metallo-beta-lactamase	K17837*	metallo-beta-lactamase class B
beta-lactam	blaL2	SARG|beta-lactam|blaL2|WP_063842700.1	NCBI|amr:amr|beta-lactam|blaL2|WP_063842700.1	L2 family extended-spectrum class A beta-lactamase	K17836*	beta-lactamase class A
beta-lactam	blaLAP	SARG|beta-lactam|blaLAP|WP_012477595.1	NCBI|amr:amr|beta-lactam|blaLAP|WP_012477595.1	class A beta-lactamase LAP-2	K17836*	beta-lactamase class A
beta-lactam	blaLAP	SARG|beta-lactam|blaLAP|WP_031942394.1	NCBI|amr:amr|beta-lactam|blaLAP|WP_031942394.1	class A beta-lactamase LAP-1	K17836*	beta-lactamase class A
beta-lactam	blaLAQ	SARG|beta-lactam|blaLAQ|WP_219860729.1	NCBI|amr:amr|beta-lactam|blaLAQ|WP_219860729.1	extended-spectrum class C beta-lactamase LAQ-1	K01467*	beta-lactamase class C
beta-lactam	blaLCR/NPS	SARG|beta-lactam|blaLCR/NPS|WP_011013281.1	NCBI|amr:amr|beta-lactam|blaNPS|WP_011013281.1	oxacillin-hydrolyzing class D beta-lactamase NPS-1	K17838*	beta-lactamase class D
beta-lactam	blaLCR/NPS	SARG|beta-lactam|blaLCR/NPS|WP_032488481.1	NCBI|amr:amr|beta-lactam|blaLCR|WP_032488481.1	oxacillin-hydrolyzing class D beta-lactamase LCR-1	K17838*	beta-lactamase class D
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_008804981.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_008804981.1	class A beta-lactamase LEN-27	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_012541790.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_012541790.1	class A beta-lactamase LEN-28	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_012968280.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_012968280.1	class A beta-lactamase LEN-13	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_016160983.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_016160983.1	class A beta-lactamase LEN-31	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_022065596.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_022065596.1	class A beta-lactamase LEN-10	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_023297577.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_023297577.1	class A beta-lactamase LEN-16	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_023340103.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_023340103.1	class A beta-lactamase LEN-2	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_025712239.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_025712239.1	class A beta-lactamase LEN-26	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_032733006.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_032733006.1	class A beta-lactamase LEN-127	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_032735535.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_032735535.1	class A beta-lactamase LEN-9	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_039103359.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_039103359.1	class A beta-lactamase LEN-17	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_043875313.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_043875313.1	class A beta-lactamase LEN-32	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_044614545.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_044614545.1	class A beta-lactamase LEN-8	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_046619698.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_046619698.1	class A beta-lactamase LEN-7	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_046881494.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_046881494.1	class A beta-lactamase LEN-169	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_048330117.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_048330117.1	class A beta-lactamase LEN-22	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_049152892.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_049152892.1	class A beta-lactamase LEN-126	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_049156962.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_049156962.1	class A beta-lactamase LEN-11	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_060875818.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_060875818.1	class A beta-lactamase LEN-132	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_061154665.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_061154665.1	class A beta-lactamase LEN-42	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063266839.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063266839.1	class A beta-lactamase LEN-25	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860799.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860799.1	class A beta-lactamase LEN-1	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860800.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860800.1	class A beta-lactamase LEN-15	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860820.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860820.1	class A beta-lactamase LEN-18	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860821.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860821.1	class A beta-lactamase LEN-19	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860822.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860822.1	class A beta-lactamase LEN-20	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860823.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860823.1	class A beta-lactamase LEN-21	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860824.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860824.1	class A beta-lactamase LEN-23	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860825.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860825.1	class A beta-lactamase LEN-24	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_063860826.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_063860826.1	class A beta-lactamase LEN-5	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_064142333.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_064142333.1	class A beta-lactamase LEN-135	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_064170998.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_064170998.1	class A beta-lactamase LEN-83	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_072124806.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_072124806.1	class A beta-lactamase LEN-34	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_074385924.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_074385924.1	class A beta-lactamase LEN-43	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_080923375.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_080923375.1	class A beta-lactamase LEN-30	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_080928629.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_080928629.1	class A beta-lactamase LEN-79	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_080930377.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_080930377.1	class A beta-lactamase LEN-96	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_094917017.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_094917017.1	class A beta-lactamase LEN-55	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_100631894.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_100631894.1	class A beta-lactamase LEN-105	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_100675621.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_100675621.1	class A beta-lactamase LEN-41	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_100680181.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_100680181.1	class A beta-lactamase LEN-106	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_101825048.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_101825048.1	class A beta-lactamase LEN-209	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110194916.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110194916.1	class A beta-lactamase LEN-210	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110196444.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110196444.1	class A beta-lactamase LEN-12	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110203160.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110203160.1	class A beta-lactamase LEN-61	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110203710.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110203710.1	class A beta-lactamase LEN-71	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110204792.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110204792.1	class A beta-lactamase LEN-95	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110210711.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110210711.1	class A beta-lactamase LEN-120	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110217403.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110217403.1	class A beta-lactamase LEN-77	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110223294.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110223294.1	class A beta-lactamase LEN-62	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_110227413.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_110227413.1	class A beta-lactamase LEN-69	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117108339.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117108339.1	class A beta-lactamase LEN-134	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117109162.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117109162.1	class A beta-lactamase LEN-190	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117116923.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117116923.1	class A beta-lactamase LEN-151	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117122250.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117122250.1	class A beta-lactamase LEN-178	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117122976.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117122976.1	class A beta-lactamase LEN-58	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117133054.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117133054.1	class A beta-lactamase LEN-192	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117138292.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117138292.1	class A beta-lactamase LEN-63	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_117268719.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_117268719.1	class A beta-lactamase LEN-148	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_123836928.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_123836928.1	class A beta-lactamase LEN-51	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_124038045.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_124038045.1	class A beta-lactamase LEN-185	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_129765887.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_129765887.1	class A beta-lactamase LEN-74	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_131023682.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_131023682.1	class A beta-lactamase LEN-175	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_131027396.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_131027396.1	class A beta-lactamase LEN-144	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_136026639.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_136026639.1	class A beta-lactamase LEN-39	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_136049560.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_136049560.1	class A beta-lactamase LEN-40	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_136086342.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_136086342.1	class A beta-lactamase LEN-38	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_152330887.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_152330887.1	class A beta-lactamase LEN-35	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_152330888.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_152330888.1	class A beta-lactamase LEN-36	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_152330889.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_152330889.1	class A beta-lactamase LEN-37	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_155011402.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_155011402.1	class A beta-lactamase LEN-84	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_162677570.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_162677570.1	class A beta-lactamase LEN-48	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_165812824.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_165812824.1	class A beta-lactamase LEN-113	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_168233886.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_168233886.1	class A beta-lactamase LEN-108	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_174140712.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_174140712.1	class A beta-lactamase LEN-184	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_180254273.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_180254273.1	class A beta-lactamase LEN-45	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_181481589.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_181481589.1	class A beta-lactamase LEN-86	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_183476648.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_183476648.1	class A beta-lactamase LEN-92	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_185185426.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_185185426.1	class A beta-lactamase LEN-133	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_186980386.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_186980386.1	class A beta-lactamase LEN-141	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_194400260.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_194400260.1	class A beta-lactamase LEN-138	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_200558417.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_200558417.1	class A beta-lactamase LEN-168	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_208497165.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_208497165.1	LEN family class A beta-lactamase	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_218408433.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_218408433.1	class A beta-lactamase LEN-119	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_218802996.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_218802996.1	class A beta-lactamase LEN-136	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_218809187.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_218809187.1	class A beta-lactamase LEN-78	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_224229311.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_224229311.1	class A beta-lactamase LEN-57	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_228665977.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_228665977.1	class A beta-lactamase LEN-167	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_229532798.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_229532798.1	class A beta-lactamase LEN-196	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_231669167.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_231669167.1	class A beta-lactamase LEN-129	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_232555862.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_232555862.1	class A beta-lactamase LEN-112	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_232687998.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_232687998.1	class A beta-lactamase LEN-204	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_235289882.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_235289882.1	class A beta-lactamase LEN-149	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_242924921.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_242924921.1	class A beta-lactamase LEN-70	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_243528435.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_243528435.1	class A beta-lactamase LEN-202	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_244342778.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_244342778.1	class A beta-lactamase LEN-180	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_264969628.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_264969628.1	class A beta-lactamase LEN-87	K17836*	beta-lactamase class A
beta-lactam	blaLEN	SARG|beta-lactam|blaLEN|WP_265003330.1	NCBI|amr:amr|beta-lactam|blaLEN|WP_265003330.1	class A beta-lactamase LEN-147	K17836*	beta-lactamase class A
